Train ID,Route,Date and Time,Passenger Count,Number of Coaches,Total Capacity,Seat Occupancy (%),Platform Number,Delay Records (mins),Holiday or Weekend Indicator
TRN-012,Toronto - Montreal,2026-02-06 23:07:16,282,5,300,94.0,6,0,Yes
TRN-015,New York - Washington DC,2026-02-06 23:26:29,225,11,660,34.09,10,0,No
TRN-015,Toronto - Montreal,2026-02-06 23:48:45,181,8,480,37.71,7,102,No
TRN-019,Beijing - Shanghai,2026-02-07 00:29:58,352,10,600,58.67,2,0,Yes
TRN-013,Los Angeles - San Francisco,2026-02-07 00:59:40,402,7,420,95.71,4,12,Yes
TRN-004,Berlin - Munich,2026-02-07 01:49:20,465,14,840,55.36,11,0,Yes
TRN-020,Sydney - Melbourne,2026-02-07 02:04:11,321,15,900,35.67,1,0,Yes
TRN-014,London - Paris,2026-02-07 02:37:29,275,11,660,41.67,2,104,Yes
TRN-004,New York - Washington DC,2026-02-07 02:47:33,425,10,600,70.83,6,78,Yes
TRN-004,Sydney - Melbourne,2026-02-07 03:10:46,387,10,600,64.5,9,0,Yes
TRN-007,Chicago - St. Louis,2026-02-07 03:20:44,359,7,420,85.48,1,0,Yes
TRN-009,Mumbai - Delhi,2026-02-07 03:24:00,264,6,360,73.33,9,0,Yes
TRN-014,Tokyo - Osaka,2026-02-07 03:59:06,277,14,840,32.98,7,0,Yes
TRN-017,Berlin - Munich,2026-02-07 04:09:57,282,6,360,78.33,9,0,Yes
TRN-006,Berlin - Munich,2026-02-07 04:59:05,408,6,360,113.33,10,0,Yes
TRN-010,New York - Washington DC,2026-02-07 05:13:31,347,6,360,96.39,8,0,Yes
TRN-009,Los Angeles - San Francisco,2026-02-07 05:20:21,351,14,840,41.79,3,0,Yes
TRN-002,New York - Washington DC,2026-02-07 06:04:09,214,14,840,25.48,10,0,Yes
TRN-011,New York - Washington DC,2026-02-07 06:21:53,338,14,840,40.24,1,0,Yes
TRN-012,Mumbai - Delhi,2026-02-07 06:39:08,485,14,840,57.74,11,108,Yes
TRN-002,Chicago - St. Louis,2026-02-07 07:09:31,502,14,840,59.76,7,0,Yes
TRN-015,New York - Washington DC,2026-02-07 07:30:53,591,15,900,65.67,6,94,Yes
TRN-011,Beijing - Shanghai,2026-02-07 07:43:41,703,13,780,90.13,1,0,Yes
TRN-020,Los Angeles - San Francisco,2026-02-07 08:37:17,603,11,660,91.36,3,0,Yes
TRN-002,London - Paris,2026-02-07 09:02:37,600,15,900,66.67,2,0,Yes
TRN-001,London - Paris,2026-02-07 10:06:48,379,10,600,63.17,8,0,Yes
TRN-016,Los Angeles - San Francisco,2026-02-07 10:38:03,339,7,420,80.71,4,0,Yes
TRN-008,Beijing - Shanghai,2026-02-07 10:38:50,353,6,360,98.06,6,0,Yes
TRN-019,Beijing - Shanghai,2026-02-07 11:29:53,372,5,300,124.0,6,92,Yes
TRN-005,Los Angeles - San Francisco,2026-02-07 11:43:03,294,10,600,49.0,7,0,Yes
TRN-016,Chicago - St. Louis,2026-02-07 12:22:38,449,10,600,74.83,7,0,Yes
TRN-002,Toronto - Montreal,2026-02-07 12:28:02,375,8,480,78.12,1,0,Yes
TRN-007,Mumbai - Delhi,2026-02-07 12:58:33,386,11,660,58.48,12,0,Yes
TRN-019,Chicago - St. Louis,2026-02-07 13:33:34,413,9,540,76.48,6,0,Yes
TRN-019,Los Angeles - San Francisco,2026-02-07 13:41:09,425,14,840,50.6,8,0,Yes
TRN-014,Berlin - Munich,2026-02-07 13:50:35,418,11,660,63.33,2,0,Yes
TRN-004,Berlin - Munich,2026-02-07 14:07:45,493,15,900,54.78,10,0,Yes
TRN-010,New York - Washington DC,2026-02-07 14:14:11,328,14,840,39.05,4,0,Yes
TRN-003,Berlin - Munich,2026-02-07 14:18:02,504,11,660,76.36,5,0,Yes
TRN-004,Berlin - Munich,2026-02-07 14:26:24,467,10,600,77.83,12,0,Yes
TRN-006,Toronto - Montreal,2026-02-07 14:40:57,440,6,360,122.22,6,0,Yes
TRN-012,Toronto - Montreal,2026-02-07 14:48:52,498,15,900,55.33,5,73,Yes
TRN-016,Los Angeles - San Francisco,2026-02-07 14:50:59,351,5,300,117.0,1,0,Yes
TRN-015,New York - Washington DC,2026-02-07 14:55:34,462,7,420,110.0,1,0,Yes
TRN-019,Chicago - St. Louis,2026-02-07 15:28:11,403,14,840,47.98,6,0,Yes
TRN-004,Toronto - Montreal,2026-02-07 15:30:37,319,6,360,88.61,3,0,Yes
TRN-003,London - Paris,2026-02-07 15:38:11,337,11,660,51.06,2,0,Yes
TRN-008,New York - Washington DC,2026-02-07 16:54:11,408,12,720,56.67,10,0,Yes
TRN-016,Chicago - St. Louis,2026-02-07 17:05:18,648,8,480,135.0,4,0,Yes
TRN-007,Toronto - Montreal,2026-02-07 18:29:20,683,12,720,94.86,9,0,Yes
TRN-016,New York - Washington DC,2026-02-07 18:50:47,482,11,660,73.03,1,0,Yes
TRN-012,Tokyo - Osaka,2026-02-07 19:01:05,508,7,420,120.95,11,40,Yes
TRN-020,Berlin - Munich,2026-02-07 19:13:34,767,12,720,106.53,12,0,Yes
TRN-006,Los Angeles - San Francisco,2026-02-07 19:36:49,403,15,900,44.78,4,0,Yes
TRN-004,New York - Washington DC,2026-02-07 19:49:12,566,9,540,104.81,9,0,Yes
TRN-003,Mumbai - Delhi,2026-02-07 20:36:06,452,8,480,94.17,10,64,Yes
TRN-015,Sydney - Melbourne,2026-02-07 21:31:20,372,12,720,51.67,4,0,Yes
TRN-016,Tokyo - Osaka,2026-02-07 21:47:28,386,14,840,45.95,5,27,Yes
TRN-001,London - Paris,2026-02-07 21:49:03,323,10,600,53.83,2,0,Yes
TRN-002,Sydney - Melbourne,2026-02-07 22:10:15,393,14,840,46.79,1,0,Yes
TRN-016,Los Angeles - San Francisco,2026-02-07 22:19:10,339,8,480,70.62,7,0,Yes
TRN-002,Chicago - St. Louis,2026-02-07 23:19:20,363,11,660,55.0,10,0,Yes
TRN-001,Berlin - Munich,2026-02-08 00:25:05,301,10,600,50.17,5,17,Yes
TRN-014,Beijing - Shanghai,2026-02-08 01:02:13,235,11,660,35.61,12,31,Yes
TRN-020,Tokyo - Osaka,2026-02-08 01:07:42,292,5,300,97.33,2,0,Yes
TRN-004,Toronto - Montreal,2026-02-08 01:28:17,366,15,900,40.67,10,0,Yes
TRN-002,Mumbai - Delhi,2026-02-08 01:38:12,407,9,540,75.37,12,0,Yes
TRN-020,Toronto - Montreal,2026-02-08 01:59:05,435,14,840,51.79,12,43,Yes
TRN-009,Toronto - Montreal,2026-02-08 02:38:02,294,14,840,35.0,8,36,Yes
TRN-006,Chicago - St. Louis,2026-02-08 02:38:10,322,6,360,89.44,3,0,Yes
TRN-011,Los Angeles - San Francisco,2026-02-08 02:44:18,491,6,360,136.39,7,0,Yes
TRN-001,Beijing - Shanghai,2026-02-08 03:44:24,440,13,780,56.41,9,0,Yes
TRN-013,Beijing - Shanghai,2026-02-08 03:51:23,271,9,540,50.19,2,0,Yes
TRN-010,Mumbai - Delhi,2026-02-08 04:17:21,409,9,540,75.74,3,0,Yes
TRN-020,Tokyo - Osaka,2026-02-08 04:24:19,510,15,900,56.67,5,9,Yes
TRN-009,Los Angeles - San Francisco,2026-02-08 05:12:27,404,9,540,74.81,5,0,Yes
TRN-005,Berlin - Munich,2026-02-08 05:14:48,489,11,660,74.09,10,0,Yes
TRN-017,Los Angeles - San Francisco,2026-02-08 06:17:42,442,11,660,66.97,9,42,Yes
TRN-019,Chicago - St. Louis,2026-02-08 06:35:46,323,14,840,38.45,11,0,Yes
TRN-020,Los Angeles - San Francisco,2026-02-08 07:04:23,567,6,360,157.5,2,0,Yes
TRN-014,Tokyo - Osaka,2026-02-08 07:45:03,735,13,780,94.23,3,95,Yes
TRN-013,London - Paris,2026-02-08 07:48:56,592,9,540,109.63,11,0,Yes
TRN-008,Sydney - Melbourne,2026-02-08 08:13:20,507,7,420,120.71,3,0,Yes
TRN-005,Chicago - St. Louis,2026-02-08 08:15:36,739,13,780,94.74,5,0,Yes
TRN-003,Mumbai - Delhi,2026-02-08 08:50:26,685,15,900,76.11,12,78,Yes
TRN-002,Chicago - St. Louis,2026-02-08 09:03:34,561,10,600,93.5,9,0,Yes
TRN-011,Beijing - Shanghai,2026-02-08 09:23:08,642,11,660,97.27,9,14,Yes
TRN-001,Berlin - Munich,2026-02-08 09:25:22,546,7,420,130.0,3,0,Yes
TRN-003,London - Paris,2026-02-08 09:31:47,706,11,660,106.97,1,0,Yes
TRN-009,Mumbai - Delhi,2026-02-08 09:37:07,585,9,540,108.33,3,0,Yes
TRN-013,Toronto - Montreal,2026-02-08 10:18:07,388,15,900,43.11,3,11,Yes
TRN-006,Tokyo - Osaka,2026-02-08 10:47:18,217,8,480,45.21,12,0,Yes
TRN-007,Berlin - Munich,2026-02-08 10:55:57,373,15,900,41.44,5,0,Yes
TRN-007,Tokyo - Osaka,2026-02-08 11:03:32,375,12,720,52.08,1,0,Yes
TRN-006,Mumbai - Delhi,2026-02-08 11:28:06,344,10,600,57.33,11,0,Yes
TRN-018,Chicago - St. Louis,2026-02-08 11:48:02,248,15,900,27.56,2,0,Yes
TRN-009,Beijing - Shanghai,2026-02-08 12:33:15,429,7,420,102.14,6,0,Yes
TRN-010,Toronto - Montreal,2026-02-08 12:36:34,322,11,660,48.79,6,80,Yes
TRN-012,London - Paris,2026-02-08 13:16:57,348,7,420,82.86,5,0,Yes
TRN-011,Toronto - Montreal,2026-02-08 13:34:41,306,9,540,56.67,9,0,Yes
TRN-019,Toronto - Montreal,2026-02-08 14:03:38,413,8,480,86.04,8,0,Yes
TRN-003,Berlin - Munich,2026-02-08 14:09:26,397,11,660,60.15,6,0,Yes
TRN-009,New York - Washington DC,2026-02-08 14:21:55,464,11,660,70.3,10,0,Yes
TRN-005,New York - Washington DC,2026-02-08 15:18:26,451,5,300,150.33,11,0,Yes
TRN-018,Chicago - St. Louis,2026-02-08 15:41:41,270,11,660,40.91,2,49,Yes
TRN-008,Mumbai - Delhi,2026-02-08 15:47:34,291,10,600,48.5,11,0,Yes
TRN-009,Beijing - Shanghai,2026-02-08 16:06:49,258,14,840,30.71,2,105,Yes
TRN-002,London - Paris,2026-02-08 16:18:34,403,13,780,51.67,12,0,Yes
TRN-007,London - Paris,2026-02-08 16:20:38,413,7,420,98.33,9,0,Yes
TRN-011,Beijing - Shanghai,2026-02-08 16:34:23,367,12,720,50.97,6,0,Yes
TRN-017,London - Paris,2026-02-08 17:06:06,464,14,840,55.24,3,80,Yes
TRN-007,Mumbai - Delhi,2026-02-08 18:41:11,523,14,840,62.26,4,0,Yes
TRN-018,Tokyo - Osaka,2026-02-08 18:48:45,655,15,900,72.78,10,0,Yes
TRN-001,Mumbai - Delhi,2026-02-08 19:06:40,639,5,300,213.0,5,0,Yes
TRN-001,Beijing - Shanghai,2026-02-08 21:00:37,412,15,900,45.78,8,0,Yes
TRN-001,Berlin - Munich,2026-02-08 21:13:08,369,15,900,41.0,8,0,Yes
TRN-020,London - Paris,2026-02-08 21:14:13,362,6,360,100.56,1,0,Yes
TRN-016,Berlin - Munich,2026-02-08 21:59:52,429,12,720,59.58,8,0,Yes
TRN-017,Tokyo - Osaka,2026-02-08 22:05:09,254,5,300,84.67,1,0,Yes
TRN-012,Los Angeles - San Francisco,2026-02-08 23:06:03,309,6,360,85.83,7,0,Yes
TRN-005,Mumbai - Delhi,2026-02-08 23:06:06,526,9,540,97.41,6,0,Yes
TRN-014,New York - Washington DC,2026-02-08 23:45:00,398,14,840,47.38,5,0,Yes
TRN-009,Chicago - St. Louis,2026-02-09 01:04:01,299,11,660,45.3,11,0,No
TRN-011,London - Paris,2026-02-09 01:14:17,280,9,540,51.85,5,0,No
TRN-014,Los Angeles - San Francisco,2026-02-09 01:24:13,104,5,300,34.67,9,79,No
TRN-011,Toronto - Montreal,2026-02-09 01:50:22,152,9,540,28.15,4,50,No
TRN-020,New York - Washington DC,2026-02-09 02:06:18,176,8,480,36.67,3,0,No
TRN-004,Berlin - Munich,2026-02-09 02:07:32,151,10,600,25.17,2,35,No
TRN-012,New York - Washington DC,2026-02-09 02:27:24,384,14,840,45.71,7,0,Yes
TRN-005,Berlin - Munich,2026-02-09 02:33:07,155,10,600,25.83,6,28,No
TRN-018,Berlin - Munich,2026-02-09 02:41:56,122,15,900,13.56,12,0,No
TRN-009,Chicago - St. Louis,2026-02-09 02:54:47,127,9,540,23.52,9,0,No
TRN-010,Beijing - Shanghai,2026-02-09 03:00:44,176,14,840,20.95,2,0,No
TRN-014,Beijing - Shanghai,2026-02-09 03:16:25,291,6,360,80.83,12,0,No
TRN-018,London - Paris,2026-02-09 03:40:02,110,12,720,15.28,11,0,No
TRN-008,Mumbai - Delhi,2026-02-09 03:44:04,416,10,600,69.33,1,0,Yes
TRN-008,Chicago - St. Louis,2026-02-09 03:46:55,208,10,600,34.67,2,0,No
TRN-013,London - Paris,2026-02-09 04:11:54,290,11,660,43.94,9,0,No
TRN-013,Berlin - Munich,2026-02-09 04:25:21,143,9,540,26.48,3,0,No
TRN-007,Berlin - Munich,2026-02-09 04:32:00,291,6,360,80.83,9,0,No
TRN-020,Beijing - Shanghai,2026-02-09 04:45:37,277,13,780,35.51,7,0,Yes
TRN-012,London - Paris,2026-02-09 05:01:18,272,5,300,90.67,6,0,No
TRN-008,Chicago - St. Louis,2026-02-09 05:22:31,121,7,420,28.81,8,0,No
TRN-003,Mumbai - Delhi,2026-02-09 06:02:25,162,14,840,19.29,8,20,No
TRN-010,New York - Washington DC,2026-02-09 06:10:55,248,8,480,51.67,3,103,No
TRN-012,London - Paris,2026-02-09 06:31:52,442,13,780,56.67,6,0,Yes
TRN-012,Tokyo - Osaka,2026-02-09 06:32:05,297,12,720,41.25,2,0,No
TRN-003,Chicago - St. Louis,2026-02-09 06:40:28,219,10,600,36.5,5,0,No
TRN-014,Chicago - St. Louis,2026-02-09 06:44:11,269,6,360,74.72,11,107,No
TRN-004,Berlin - Munich,2026-02-09 06:45:08,117,6,360,32.5,3,0,No
TRN-013,Beijing - Shanghai,2026-02-09 07:09:46,478,6,360,132.78,12,0,No
TRN-015,Los Angeles - San Francisco,2026-02-09 07:39:33,367,14,840,43.69,7,0,No
TRN-017,Sydney - Melbourne,2026-02-09 07:56:27,348,15,900,38.67,2,0,No
TRN-005,New York - Washington DC,2026-02-09 08:55:43,325,7,420,77.38,1,0,No
TRN-005,Chicago - St. Louis,2026-02-09 09:32:34,432,10,600,72.0,5,0,No
TRN-003,New York - Washington DC,2026-02-09 10:16:37,200,12,720,27.78,7,0,No
TRN-009,Los Angeles - San Francisco,2026-02-09 10:33:08,153,8,480,31.87,3,0,No
TRN-009,Tokyo - Osaka,2026-02-09 10:48:20,150,9,540,27.78,4,0,No
TRN-014,Toronto - Montreal,2026-02-09 10:54:23,287,13,780,36.79,6,61,No
TRN-005,Mumbai - Delhi,2026-02-09 10:59:51,211,5,300,70.33,9,0,No
TRN-019,New York - Washington DC,2026-02-09 11:35:07,315,13,780,40.38,11,0,Yes
TRN-012,Mumbai - Delhi,2026-02-09 12:03:07,170,8,480,35.42,10,0,No
TRN-002,Los Angeles - San Francisco,2026-02-09 12:03:20,444,11,660,67.27,12,77,Yes
TRN-004,Sydney - Melbourne,2026-02-09 12:24:40,171,5,300,57.0,8,89,No
TRN-007,Tokyo - Osaka,2026-02-09 12:32:23,196,5,300,65.33,8,0,No
TRN-020,Los Angeles - San Francisco,2026-02-09 12:37:12,239,8,480,49.79,9,79,No
TRN-012,Mumbai - Delhi,2026-02-09 13:34:11,166,10,600,27.67,9,0,No
TRN-018,Tokyo - Osaka,2026-02-09 13:48:26,266,10,600,44.33,4,0,No
TRN-020,Los Angeles - San Francisco,2026-02-09 13:55:31,122,11,660,18.48,4,0,No
TRN-012,Berlin - Munich,2026-02-09 13:58:27,136,6,360,37.78,6,0,No
TRN-015,New York - Washington DC,2026-02-09 14:04:52,207,6,360,57.5,5,0,No
TRN-013,Berlin - Munich,2026-02-09 14:42:36,207,5,300,69.0,5,79,No
TRN-015,Beijing - Shanghai,2026-02-09 14:47:27,152,10,600,25.33,5,0,No
TRN-015,Los Angeles - San Francisco,2026-02-09 15:29:15,176,14,840,20.95,6,10,No
TRN-009,Mumbai - Delhi,2026-02-09 15:30:36,210,13,780,26.92,6,0,No
TRN-011,New York - Washington DC,2026-02-09 15:37:24,275,6,360,76.39,6,53,No
TRN-019,Toronto - Montreal,2026-02-09 15:37:27,293,9,540,54.26,5,0,No
TRN-003,Beijing - Shanghai,2026-02-09 16:15:22,275,14,840,32.74,11,0,No
TRN-003,Mumbai - Delhi,2026-02-09 16:36:29,223,11,660,33.79,12,43,No
TRN-013,Tokyo - Osaka,2026-02-09 16:42:31,179,15,900,19.89,5,0,No
TRN-013,Toronto - Montreal,2026-02-09 17:06:43,460,10,600,76.67,7,105,No
TRN-020,Sydney - Melbourne,2026-02-09 17:40:26,310,9,540,57.41,3,0,No
TRN-013,Mumbai - Delhi,2026-02-09 18:14:58,364,5,300,121.33,9,24,No
TRN-006,Berlin - Munich,2026-02-09 18:44:47,398,11,660,60.3,11,0,No
TRN-008,Los Angeles - San Francisco,2026-02-09 18:48:52,476,5,300,158.67,4,40,No
TRN-001,Chicago - St. Louis,2026-02-09 19:00:49,772,7,420,183.81,2,0,Yes
TRN-009,Mumbai - Delhi,2026-02-09 19:31:27,382,15,900,42.44,9,0,No
TRN-006,Chicago - St. Louis,2026-02-09 19:42:54,405,7,420,96.43,12,0,No
TRN-008,Los Angeles - San Francisco,2026-02-09 20:15:06,112,8,480,23.33,12,0,No
TRN-006,Mumbai - Delhi,2026-02-09 21:09:59,174,8,480,36.25,12,0,No
TRN-017,Los Angeles - San Francisco,2026-02-09 21:26:43,234,10,600,39.0,6,0,No
TRN-017,Toronto - Montreal,2026-02-09 22:17:20,469,8,480,97.71,4,0,Yes
TRN-004,Beijing - Shanghai,2026-02-09 22:21:17,173,6,360,48.06,7,0,No
TRN-005,New York - Washington DC,2026-02-09 22:26:04,296,14,840,35.24,3,0,No
TRN-020,Beijing - Shanghai,2026-02-09 22:26:12,138,5,300,46.0,11,0,No
TRN-001,Mumbai - Delhi,2026-02-09 22:39:55,294,11,660,44.55,2,0,No
TRN-020,Sydney - Melbourne,2026-02-09 22:47:54,124,7,420,29.52,9,63,No
TRN-020,Chicago - St. Louis,2026-02-09 23:28:14,245,15,900,27.22,5,0,No
TRN-003,London - Paris,2026-02-09 23:54:19,213,15,900,23.67,6,0,No
TRN-011,Beijing - Shanghai,2026-02-09 23:55:06,290,5,300,96.67,9,0,No
TRN-007,Los Angeles - San Francisco,2026-02-10 00:15:30,190,15,900,21.11,5,0,No
TRN-010,Tokyo - Osaka,2026-02-10 00:41:03,120,10,600,20.0,5,0,No
TRN-011,Tokyo - Osaka,2026-02-10 00:41:51,259,6,360,71.94,12,0,No
TRN-008,Toronto - Montreal,2026-02-10 01:19:13,268,6,360,74.44,11,0,No
TRN-010,Beijing - Shanghai,2026-02-10 01:29:52,193,9,540,35.74,9,0,No
TRN-019,Berlin - Munich,2026-02-10 01:57:09,129,13,780,16.54,4,0,No
TRN-005,Tokyo - Osaka,2026-02-10 02:42:57,196,13,780,25.13,5,59,No
TRN-015,Berlin - Munich,2026-02-10 02:47:57,141,11,660,21.36,7,0,No
TRN-010,Mumbai - Delhi,2026-02-10 03:02:06,298,14,840,35.48,5,0,Yes
TRN-006,London - Paris,2026-02-10 03:41:13,170,12,720,23.61,7,0,No
TRN-020,Beijing - Shanghai,2026-02-10 03:58:22,141,12,720,19.58,5,0,No
TRN-002,Mumbai - Delhi,2026-02-10 04:19:54,143,14,840,17.02,11,0,No
TRN-011,London - Paris,2026-02-10 04:28:47,168,14,840,20.0,2,0,No
TRN-017,Tokyo - Osaka,2026-02-10 04:50:47,236,14,840,28.1,12,0,No
TRN-018,Tokyo - Osaka,2026-02-10 05:12:03,193,7,420,45.95,7,0,No
TRN-006,Los Angeles - San Francisco,2026-02-10 05:12:28,285,15,900,31.67,3,0,No
TRN-003,Toronto - Montreal,2026-02-10 05:46:47,101,7,420,24.05,7,0,No
TRN-001,Los Angeles - San Francisco,2026-02-10 05:47:52,172,7,420,40.95,1,0,No
TRN-019,Toronto - Montreal,2026-02-10 06:05:24,215,12,720,29.86,8,0,No
TRN-012,Tokyo - Osaka,2026-02-10 06:49:06,246,15,900,27.33,9,0,No
TRN-007,Toronto - Montreal,2026-02-10 06:55:50,389,9,540,72.04,6,0,Yes
TRN-005,Sydney - Melbourne,2026-02-10 07:04:15,431,14,840,51.31,5,71,No
TRN-003,London - Paris,2026-02-10 07:11:19,482,8,480,100.42,12,0,No
TRN-006,Los Angeles - San Francisco,2026-02-10 07:16:59,402,9,540,74.44,8,0,No
TRN-001,Mumbai - Delhi,2026-02-10 07:20:44,325,14,840,38.69,1,0,No
TRN-012,Berlin - Munich,2026-02-10 07:55:03,492,15,900,54.67,3,78,No
TRN-020,New York - Washington DC,2026-02-10 09:45:45,576,6,360,160.0,8,0,No
TRN-012,Toronto - Montreal,2026-02-10 10:21:25,238,12,720,33.06,4,0,No
TRN-008,Berlin - Munich,2026-02-10 10:36:05,279,8,480,58.13,2,0,No
TRN-015,London - Paris,2026-02-10 10:39:25,159,15,900,17.67,11,0,No
TRN-006,Sydney - Melbourne,2026-02-10 10:46:54,170,15,900,18.89,11,0,No
TRN-015,Berlin - Munich,2026-02-10 10:53:33,154,12,720,21.39,3,0,No
TRN-005,Los Angeles - San Francisco,2026-02-10 11:05:39,171,9,540,31.67,9,0,No
TRN-004,Tokyo - Osaka,2026-02-10 11:21:34,289,13,780,37.05,8,0,No
TRN-018,Los Angeles - San Francisco,2026-02-10 11:23:32,137,11,660,20.76,9,0,No
TRN-011,Tokyo - Osaka,2026-02-10 11:39:47,212,8,480,44.17,6,88,No
TRN-003,Toronto - Montreal,2026-02-10 11:51:42,235,7,420,55.95,7,0,No
TRN-002,New York - Washington DC,2026-02-10 12:12:12,285,15,900,31.67,8,0,No
TRN-007,Beijing - Shanghai,2026-02-10 12:31:42,453,9,540,83.89,7,0,Yes
TRN-016,Beijing - Shanghai,2026-02-10 12:34:27,144,6,360,40.0,1,0,No
TRN-014,Los Angeles - San Francisco,2026-02-10 12:35:23,229,12,720,31.81,3,0,No
TRN-015,Toronto - Montreal,2026-02-10 12:39:39,154,7,420,36.67,3,0,No
TRN-009,Berlin - Munich,2026-02-10 12:45:22,110,11,660,16.67,10,0,No
TRN-018,Mumbai - Delhi,2026-02-10 13:08:17,459,14,840,54.64,8,0,Yes
TRN-006,Tokyo - Osaka,2026-02-10 13:32:45,379,11,660,57.42,12,0,Yes
TRN-009,New York - Washington DC,2026-02-10 14:24:43,198,7,420,47.14,9,0,No
TRN-009,Mumbai - Delhi,2026-02-10 15:03:43,114,14,840,13.57,2,110,No
TRN-017,Mumbai - Delhi,2026-02-10 15:55:43,209,9,540,38.7,12,0,No
TRN-014,Toronto - Montreal,2026-02-10 16:37:37,217,15,900,24.11,1,0,No
TRN-003,Sydney - Melbourne,2026-02-10 16:43:44,132,14,840,15.71,10,77,No
TRN-004,Berlin - Munich,2026-02-10 17:08:52,586,5,300,195.33,11,0,Yes
TRN-020,New York - Washington DC,2026-02-10 17:20:25,363,14,840,43.21,9,0,No
TRN-005,Los Angeles - San Francisco,2026-02-10 18:02:43,430,7,420,102.38,5,0,Yes
TRN-014,Beijing - Shanghai,2026-02-10 18:07:06,345,8,480,71.88,2,0,No
TRN-016,Mumbai - Delhi,2026-02-10 18:47:49,361,10,600,60.17,11,0,No
TRN-019,New York - Washington DC,2026-02-10 18:51:40,792,15,900,88.0,8,0,Yes
TRN-017,Mumbai - Delhi,2026-02-10 19:09:34,330,10,600,55.0,6,0,No
TRN-008,Mumbai - Delhi,2026-02-10 19:38:01,329,6,360,91.39,8,0,No
TRN-017,New York - Washington DC,2026-02-10 19:52:20,370,10,600,61.67,5,30,No
TRN-004,Los Angeles - San Francisco,2026-02-10 20:11:39,238,10,600,39.67,11,0,No
TRN-004,Sydney - Melbourne,2026-02-10 20:13:28,228,9,540,42.22,6,0,No
TRN-001,Chicago - St. Louis,2026-02-10 20:18:43,102,8,480,21.25,9,66,No
TRN-014,Mumbai - Delhi,2026-02-10 20:51:16,510,6,360,141.67,2,74,Yes
TRN-017,Beijing - Shanghai,2026-02-10 21:09:02,237,5,300,79.0,5,0,No
TRN-009,Sydney - Melbourne,2026-02-10 21:30:24,164,13,780,21.03,5,0,No
TRN-013,Mumbai - Delhi,2026-02-10 21:31:12,289,11,660,43.79,3,0,No
TRN-013,Beijing - Shanghai,2026-02-10 22:24:48,112,14,840,13.33,1,0,No
TRN-015,Berlin - Munich,2026-02-10 22:42:53,153,10,600,25.5,3,0,No
TRN-020,Beijing - Shanghai,2026-02-10 22:57:22,238,5,300,79.33,6,26,No
TRN-013,Toronto - Montreal,2026-02-10 23:20:13,232,15,900,25.78,3,0,No
TRN-009,Beijing - Shanghai,2026-02-11 00:11:30,178,15,900,19.78,9,0,No
TRN-006,Chicago - St. Louis,2026-02-11 00:28:32,146,7,420,34.76,6,0,No
TRN-009,Toronto - Montreal,2026-02-11 00:57:14,245,6,360,68.06,1,5,No
TRN-009,Mumbai - Delhi,2026-02-11 01:37:12,232,6,360,64.44,6,0,No
TRN-018,Chicago - St. Louis,2026-02-11 01:38:44,138,15,900,15.33,8,0,No
TRN-014,Toronto - Montreal,2026-02-11 01:50:09,135,9,540,25.0,7,0,No
TRN-012,New York - Washington DC,2026-02-11 03:08:58,511,15,900,56.78,5,110,Yes
TRN-008,Toronto - Montreal,2026-02-11 03:33:49,134,11,660,20.3,7,0,No
TRN-019,Tokyo - Osaka,2026-02-11 04:50:50,275,14,840,32.74,7,0,No
TRN-009,Beijing - Shanghai,2026-02-11 04:53:45,289,15,900,32.11,6,49,Yes
TRN-012,Mumbai - Delhi,2026-02-11 04:58:51,273,15,900,30.33,6,76,No
TRN-011,Chicago - St. Louis,2026-02-11 05:15:48,278,9,540,51.48,7,0,No
TRN-011,London - Paris,2026-02-11 05:54:00,256,13,780,32.82,12,0,No
TRN-015,Los Angeles - San Francisco,2026-02-11 06:51:24,189,5,300,63.0,2,0,No
TRN-001,London - Paris,2026-02-11 06:54:19,325,7,420,77.38,9,0,Yes
TRN-016,London - Paris,2026-02-11 07:16:26,466,10,600,77.67,3,0,No
TRN-020,London - Paris,2026-02-11 07:28:31,308,14,840,36.67,9,78,No
TRN-002,Los Angeles - San Francisco,2026-02-11 07:42:27,425,9,540,78.7,10,0,No
TRN-005,Mumbai - Delhi,2026-02-11 07:53:43,442,13,780,56.67,12,0,No
TRN-007,Sydney - Melbourne,2026-02-11 07:58:58,387,11,660,58.64,5,0,No
TRN-010,Toronto - Montreal,2026-02-11 08:28:17,402,9,540,74.44,3,74,No
TRN-018,Mumbai - Delhi,2026-02-11 08:47:51,506,6,360,140.56,3,0,No
TRN-013,Berlin - Munich,2026-02-11 08:56:43,281,10,600,46.83,10,0,No
TRN-019,Chicago - St. Louis,2026-02-11 08:59:22,328,5,300,109.33,12,0,No
TRN-002,Beijing - Shanghai,2026-02-11 09:16:59,457,11,660,69.24,8,0,No
TRN-018,Tokyo - Osaka,2026-02-11 10:04:35,134,15,900,14.89,3,0,No
TRN-006,Los Angeles - San Francisco,2026-02-11 10:14:43,134,15,900,14.89,6,0,No
TRN-011,London - Paris,2026-02-11 10:26:59,180,5,300,60.0,8,0,No
TRN-015,Mumbai - Delhi,2026-02-11 10:46:16,293,15,900,32.56,1,0,No
TRN-017,Mumbai - Delhi,2026-02-11 10:47:59,118,15,900,13.11,4,90,No
TRN-019,Chicago - St. Louis,2026-02-11 11:13:00,116,7,420,27.62,4,0,No
